JURADO  |  TANGO PISTA  CUARTOS - 27 DE AGOSTO A                                                                                                    z

                                                                                                                                                    z

RONDA      PAREJA       Nombre y Apellido              Nombre y Apellido                 Moira Castellano  Ernesto    Jimena    Demian  Facundo de     PROMEDIO

                                                                                                           Balmaceda  Hoeffner  Garcia  la Cruz

1   413  Luis Alberto Amaya          María Florencia Tellechea        7.530  6.800  7.400  6.150  6.500  6.876

6   408  José Eduardo Perez Pardo    Johanna Madelaine Guevara Pérez  6.600  6.780  7.000  6.650  7.250  6.856

12  758  Franco raul Nieva           Ibel Villarreal                  6.730  6.820  6.900  6.820  7.000  6.854
11  139  Brayan León               Candela Lucia Mendez     7.050  6.400  7.550  6.400  6.800  6.840

3   41   Yakut Castanedo Zayas     Annika Sarv              6.850  6.900  6.900  6.950  6.550  6.830

5   207  Fernando Aranda Martinez  Yachiyo Kurokawa         6.670  6.800  7.050  6.700  6.850  6.814

6   201  Diana Cortés              Vira Baranovska-Andrigo  7.150  6.400  7.400  6.500  6.580  6.806

9   360  HECTOR TOBAR MONDACA      YAEL TOPOROWICZ ZAMBON   6.900  6.300  7.100  6.500  6.950  6.750

15  448  Antonio Hair              Juliana sol Bernardi     6.600  6.200  7.000  7.050  6.900  6.750

2   294  Leonardo Nahuel Sarazola  Jennifer Orjuela         6.850  7.000  7.000  6.600  6.200  6.730

4   188  Valentin Mayores          Constanza Cano Morel     6.650  7.040  7.050  6.500  6.350  6.718

10  375  Matteo Faricciotti        Michela Toro             6.700  6.720  6.800  6.700  6.600  6.704

1   704  Emiliano Mamani           Lucia Pertierra          6.550  6.770  6.700  6.300  6.800  6.624

2   302  Fadi Yahya                Juliana Troles           6.580  6.950  6.800  6.300  6.150  6.556

